id,post_message,label
448,"Hoá đơn tiền điện tăng ""sốc"": Kẽ hở trong việc ghi số điện; Việt Nam hoàn thành xuất khẩu lô vải thiều đầu tiên sang Nhật Bản an toàn; Theo chân nông dân vào tận cánh đồng “hễ xuống giống là chết”... là những tin tức kinh tế đáng chú ý 24h qua.",0
7,"Chủ đầu tư tại Hà Nội tung sản phẩm có mức giá trên dưới một tỷ đồng nhằm đón bắt người mua là các gia đình trẻ, có nhu cầu ở thực.
#SkyOasis     ",0
1278,"Công an huyện Kbang ra quyết định tạm giữ hình sự đối với Phạm Ngọc Sinh về hành vi hiếp dâm người dưới 16 tuổi
  ",0
2745,"Quá thương tâm
Phó Chủ tịch UBND quận Bình Tân (TPHCM) cho biết, nạn nhân trong vụ nghi phóng hoả khiến 3 người chết ở phường Bình Trị Đông B gồm cô và 2 cháu.
Liên quan đến vụ nghi phóng hoả khiến 3 người chết tại một phòng trọ trên đường 21E, phường Bình Trị Đông B, trao đổi với phóng viên, ông Nguyễn Gia Thái Bình - Phó Chủ tịch UBND quận Bình Tân cho biết đang chỉ đạo các cơ quan chức năng điều tra làm rõ nguyên nhân vụ cháy.
""Trước mắt, chính quyền quận hỗ trợ hơn 100 triệu đồng cho gia đình để đưa nạn nhân về quê an táng. Thông tin tôi nắm được 3 nạn nhân tử vong trong nhà trọ là người thân trong gia đình gồm cô và 2 cháu. Tất cả quê ở An Giang và lên Sài Gòn thuê nhà trọ để mưu sinh bằng nghề bán trái cây"", Phó Chủ tịch UBND quận Bình Tân cho hay.",0
2009,"Công ty TNHH Thương mại Thủy sản Vĩnh Long đã lợi dụng hình thức nạo vét, đắp đê bao chống lũ trên phần đất được UBND tỉnh Vĩnh Long đồng ý cho lập dự án đầu tư khai thác du lịch sinh thái đất bãi bồi trên sông Tiền, nhưng công ty này đã chức khai thác cát trái phép đem đi bán.",0
2454,"ĐẾN 6H SÁNG NAY: CHƯA GHI NHẬN CA MẮC MỚI

Như vậy đây là lần đầu tiên kể từ ngày 7/3, đã 48 giờ trôi qua, Việt Nam không ghi nhận ca mắc COVID-19 mới.

* Tổng số người tiếp xúc gần và nhập cảnh từ vùng dịch đang được theo dõi sức khỏe (cách ly): 69.045, trong đó:
- Cách ly tập trung tại bệnh viện: 324;
- Cách ly tập trung tại cơ sở khác: 11.549;
- Cách ly tại nhà, nơi lưu trú: 57.172.",0
1277,"Bố ơi yên nghỉ, con không về được!

Người lính quân hàm xanh đang ""đánh dịch"" Covid-19 nơi tuyến đầu thì nhận tin bố đẻ qua đời! Không thể rời chốt để về chịu tang bố, anh đã lập bàn thờ tại chốt phòng dịch để thắp nén nhang tiễn bố từ nơi xa!

Đó là Trung uý Nguyễn Đình Thông, quê ở huyện Hương Sơn, tỉnh Hà Tĩnh, hiện đang công tác tại đồn Biên phòng Thạnh Trị, Bộ đội Biên phòng tỉnh Long An.

Nhận được tin bố đẻ mất nhưng vì đang tập trung thực hiện nhiệm vụ chốt chặn dịch Covid-19 nên không thể về quê chịu tang. Bộ Chỉ huy Bộ đội Biên phòng tỉnh Long An đã cho phép đồng chí đặt tạm bàn thờ ngay tại chốt phòng dịch để đồng chí Thông và đồng đội thắp hương tiễn biệt ông.

Xin chia buồn cùng gia đình anh

Theo: VTV
<URL>",0
2452,"Xuân Lộc thất thủ. Các tuyến phòng ngự từ xa đã bị phá vỡ, địch co về phòng ngự trực tiếp tại Sài Gòn. Thời cơ quân sự và chính trị để giải phóng Sài Gòn đã đến. Ta quyết định mở chiến dịch tiến công mang tên “Hồ Chí Minh” nhằm giải phóng Sài Gòn và toàn bộ miền Nam trước mùa mưa.
Khám phá những quyết sách quan trọng từ Bộ chỉ huy chiến dịch thông qua cuốn sổ trực ban và bản đồ Quyết tâm chiến dịch.

#kyucvietnam #chiendichmuaxuan",0
1460,"Bất ngờ thú vị, một năm có 3 ngày Valentine",0
3452,"Cùng với quá trình điều tra của Công an tỉnh Bình Dương, vụ án liên quan đến hành vi chuyển nhượng 43ha đất thực hiện Dự án Tân Phú đang tiếp tục gây chú ý dư luận với những câu hỏi về quản lý hoạt động của doanh nghiệp trực thuộc Tỉnh ủy...

Hỏi thì vẫn là chuyện của hỏi nhưng thiết nghĩ cũng chả cần câu trả nhời 🙂

[<URL>](<URL>)",0
4096,"Vì sao lại có con số 400.000 tấn gạo mà không phải là 500.000 hay 600.000 tấn?

Bộ Công Thương tính mỗi người dự trữ thêm 7,2kg gạo ăn ngoài lượng gạo tiêu thụ bình thường, trong khi mỗi ngày cả gia đình tôi 4 người ăn ko hết 1 bát gạo. Các bác trên Bộ ngồi bàn giấy mà ăn khoẻ phết nhỉ.

[<URL>](<URL>)",0
