id,post_message,label,post_message_preproced
448,"Hoá đơn tiền điện tăng ""sốc"": Kẽ hở trong việc ghi số điện; Việt Nam hoàn thành xuất khẩu lô vải thiều đầu tiên sang Nhật Bản an toàn; Theo chân nông dân vào tận cánh đồng “hễ xuống giống là chết”... là những tin tức kinh tế đáng chú ý 24h qua.",0,hoá_đơn tiền điện sốc kẽ hở ghi điện việt_nam hoàn_thành xuất_khẩu lô vải_thiều nhật_bản an_toàn chân nông_dân tận cánh đồng hễ xuống_giống chết tin_tức kinh_tế
7,"Chủ đầu tư tại Hà Nội tung sản phẩm có mức giá trên dưới một tỷ đồng nhằm đón bắt người mua là các gia đình trẻ, có nhu cầu ở thực.
#SkyOasis     ",0,chủ đầu_tư hà_nội tung sản_phẩm giá tỷ đồng đón bắt mua gia_đình trẻ nhu_cầu thực skyoasis
1278,"Công an huyện Kbang ra quyết định tạm giữ hình sự đối với Phạm Ngọc Sinh về hành vi hiếp dâm người dưới 16 tuổi
  ",0,công_an huyện kbang quyết_định tạm hình_sự phạm ngọc sinh hành_vi hiếp_dâm
2745,"Quá thương tâm
Phó Chủ tịch UBND quận Bình Tân (TPHCM) cho biết, nạn nhân trong vụ nghi phóng hoả khiến 3 người chết ở phường Bình Trị Đông B gồm cô và 2 cháu.
Liên quan đến vụ nghi phóng hoả khiến 3 người chết tại một phòng trọ trên đường 21E, phường Bình Trị Đông B, trao đổi với phóng viên, ông Nguyễn Gia Thái Bình - Phó Chủ tịch UBND quận Bình Tân cho biết đang chỉ đạo các cơ quan chức năng điều tra làm rõ nguyên nhân vụ cháy.
""Trước mắt, chính quyền quận hỗ trợ hơn 100 triệu đồng cho gia đình để đưa nạn nhân về quê an táng. Thông tin tôi nắm được 3 nạn nhân tử vong trong nhà trọ là người thân trong gia đình gồm cô và 2 cháu. Tất cả quê ở An Giang và lên Sài Gòn thuê nhà trọ để mưu sinh bằng nghề bán trái cây"", Phó Chủ tịch UBND quận Bình Tân cho hay.",0,thương_tâm phó chủ_tịch ubnd bình_tân tphcm nạn_nhân vụ nghi phóng_hoả chết phường bình trị đông cháu vụ nghi phóng_hoả chết phòng trọ đường phường bình trị đông trao_đổi phóng_viên nguyễn gia thái_bình phó chủ_tịch ubnd bình_tân chỉ_đạo cơ_quan_chức_năng điều_tra nguyên_nhân vụ cháy trước_mắt chính_quyền triệu đồng gia_đình nạn_nhân quê an_táng thông_tin nắm nạn_nhân tử_vong nhà_trọ người_thân gia_đình cháu quê an_giang sài_gòn thuê nhà_trọ mưu_sinh nghề trái_cây phó chủ_tịch ubnd bình_tân
2009,"Công ty TNHH Thương mại Thủy sản Vĩnh Long đã lợi dụng hình thức nạo vét, đắp đê bao chống lũ trên phần đất được UBND tỉnh Vĩnh Long đồng ý cho lập dự án đầu tư khai thác du lịch sinh thái đất bãi bồi trên sông Tiền, nhưng công ty này đã chức khai thác cát trái phép đem đi bán.",0,công_ty tnh thương_mại thuỷ_sản vĩnh_long lợi_dụng hình_thức nạo_vét đắp đê_bao chống lũ đất ubnd tỉnh vĩnh_long đồng lập dự_án đầu_tư khai_thác du_lịch sinh_thái đất bãi bồi sông tiền công_ty chức khai_thác cát trái_phép đem đi
2454,"ĐẾN 6H SÁNG NAY: CHƯA GHI NHẬN CA MẮC MỚI

Như vậy đây là lần đầu tiên kể từ ngày 7/3, đã 48 giờ trôi qua, Việt Nam không ghi nhận ca mắc COVID-19 mới.

* Tổng số người tiếp xúc gần và nhập cảnh từ vùng dịch đang được theo dõi sức khỏe (cách ly): 69.045, trong đó:
- Cách ly tập trung tại bệnh viện: 324;
- Cách ly tập trung tại cơ sở khác: 11.549;
- Cách ly tại nhà, nơi lưu trú: 57.172.",0,ghi_nhận ca mắc trôi việt_nam ghi_nhận ca mắc covid tổng_số tiếp_xúc nhập_cảnh dịch theo_dõi sức_khoẻ cách_ly cách_ly bệnh_viện cách_ly cơ_sở cách_ly lưu_trú
1277,"Bố ơi yên nghỉ, con không về được!

Người lính quân hàm xanh đang ""đánh dịch"" Covid-19 nơi tuyến đầu thì nhận tin bố đẻ qua đời! Không thể rời chốt để về chịu tang bố, anh đã lập bàn thờ tại chốt phòng dịch để thắp nén nhang tiễn bố từ nơi xa!

Đó là Trung uý Nguyễn Đình Thông, quê ở huyện Hương Sơn, tỉnh Hà Tĩnh, hiện đang công tác tại đồn Biên phòng Thạnh Trị, Bộ đội Biên phòng tỉnh Long An.

Nhận được tin bố đẻ mất nhưng vì đang tập trung thực hiện nhiệm vụ chốt chặn dịch Covid-19 nên không thể về quê chịu tang. Bộ Chỉ huy Bộ đội Biên phòng tỉnh Long An đã cho phép đồng chí đặt tạm bàn thờ ngay tại chốt phòng dịch để đồng chí Thông và đồng đội thắp hương tiễn biệt ông.

Xin chia buồn cùng gia đình anh

Theo: VTV
<URL>",0,bố yên_nghỉ lính quân_hàm xanh đánh dịch covid tuyến đầu bố đẻ qua_đời rời chốt chịu_tang bố lập bàn_thờ chốt phòng_dịch thắp nén nhang tiễn bố trung_uý nguyễn_đình thông quê huyện hương_sơn tỉnh hà_tĩnh hiện công_tác đồn biên_phòng thạnh_trị bộ_đội biên_phòng tỉnh long_an bố đẻ nhiệm_vụ chốt chặn dịch covid quê chịu_tang bộ_chỉ_huy bộ_đội biên_phòng tỉnh long_an cho_phép đồng_chí tạm bàn_thờ chốt phòng_dịch đồng_chí thông đồng_đội thắp hương tiễn_biệt chia buồn gia_đình vtv url
2452,"Xuân Lộc thất thủ. Các tuyến phòng ngự từ xa đã bị phá vỡ, địch co về phòng ngự trực tiếp tại Sài Gòn. Thời cơ quân sự và chính trị để giải phóng Sài Gòn đã đến. Ta quyết định mở chiến dịch tiến công mang tên “Hồ Chí Minh” nhằm giải phóng Sài Gòn và toàn bộ miền Nam trước mùa mưa.
Khám phá những quyết sách quan trọng từ Bộ chỉ huy chiến dịch thông qua cuốn sổ trực ban và bản đồ Quyết tâm chiến dịch.

#kyucvietnam #chiendichmuaxuan",0,xuân_lộc thất_thủ tuyến phòng_ngự phá vỡ địch co phòng_ngự sài_gòn thời_cơ quân_sự chính_trị giải_phóng sài_gòn ta quyết_định chiến_dịch tiến_công hồ_chí_minh giải_phóng sài_gòn toàn_bộ miền nam mùa mưa khám_phá quyết_sách bộ_chỉ_huy chiến_dịch thông_qua sổ trực_ban bản_đồ quyết_tâm chiến_dịch kyucvietnam chiendichmuaxuan
1460,"Bất ngờ thú vị, một năm có 3 ngày Valentine",0,thú_vị valentine
3452,"Cùng với quá trình điều tra của Công an tỉnh Bình Dương, vụ án liên quan đến hành vi chuyển nhượng 43ha đất thực hiện Dự án Tân Phú đang tiếp tục gây chú ý dư luận với những câu hỏi về quản lý hoạt động của doanh nghiệp trực thuộc Tỉnh ủy...

Hỏi thì vẫn là chuyện của hỏi nhưng thiết nghĩ cũng chả cần câu trả nhời 🙂

[<URL>](<URL>)",0,điều_tra công_an tỉnh bình_dương vụ án hành_vi chuyển_nhượng ha đất dự_án tân_phú dư_luận câu quản_lý hoạt_động doanh_nghiệp trực_thuộc tỉnh_uỷ thiết_nghĩ chả cần_câu nhời emoji urlurl
