id,user_name,post_message,num_like_post,num_comment_post,num_share_post,label,user_name_labelEncoder,user_name_freq,post_message_preproced,post_message_notStopword
502,7050444021058475008,"""Ghen Cô Vy"" là 1 dự án sáng tạo của Viện Sức khoẻ nghề nghiệp và môi trường (Bộ Y Tế) hợp tác với nhạc sĩ Khắc Hưng ,ca sĩ Erik và ca sĩ Min. Qua dự án này, Viện Sức khoẻ nghề nghiệp và môi trường mong muốn được tiếp thêm sức mạnh và niềm tin cho cộng đồng, để chúng ta cùng chung tay chống dịch COVID-19.",22000,1000,5500,0,1804,28,ghen vy dự_án sáng_tạo viện sức_khoẻ nghề_nghiệp môi_trường tế hợp_tác nhạc_sĩ khắc hưng ca_sĩ erik ca_sĩ min dự_án viện sức_khoẻ nghề_nghiệp môi_trường mong_muốn tiếp sức_mạnh niềm cộng_đồng chống dịch covid,ghen cô vy là dự_án sáng_tạo của viện sức_khoẻ nghề_nghiệp và môi_trường bộ tế hợp_tác với nhạc_sĩ khắc hưng ca_sĩ erik và ca_sĩ min qua dự_án này viện sức_khoẻ nghề_nghiệp và môi_trường mong_muốn được tiếp thêm sức_mạnh và niềm tin cho cộng_đồng để chúng_ta cùng chung tay chống dịch covid
1613,ab603852d291d90dde0b1b1a2fd09a2a,"Hnay, Hội đồng thẩm phán sẽ ra phán quyết đối với tử tù Hồ Duy Hải sau 3 ngày Giám đốc thẩm.
Ở một diễn biến không liên quan, vụ tài xế container Lê ngọc hoàng đâm xe Innova đi lùi trên cao tốc từng gây xôn xao dư luận, từng được hủy án sơ thẩm, phúc thẩm cũng sắp... được xử lại ở cấp phúc thẩm.
Trước đó, án sơ thẩm lần thứ bao nhiêu ấy đã tuyên Lê ngọc hoàng có tội, lĩnh án hơn 4 năm tù.
",18,3,1,0,2638,1,hnay hội_đồng thẩm_phán phán_quyết tử_tù hồ hải giám_đốc_thẩm diễn_biến vụ tài_xế container lê_ngọc hoàng đâm xe inova đi lùi cao_tốc xôn_xao dư_luận huỷ án sơ_thẩm phúc_thẩm xử phúc_thẩm án sơ_thẩm tuyên lê_ngọc hoàng tội lĩnh án tù,hnay hội_đồng thẩm_phán sẽ ra phán_quyết đối_với tử_tù hồ duy hải sau ngày giám_đốc_thẩm một diễn_biến không liên_quan vụ tài_xế container lê_ngọc hoàng đâm xe inova đi lùi trên cao_tốc từng gây xôn_xao dư_luận từng được huỷ án sơ_thẩm phúc_thẩm cũng sắp được xử lại cấp phúc_thẩm trước đó án sơ_thẩm lần thứ bao_nhiêu ấy đã tuyên lê_ngọc hoàng có tội lĩnh án hơn năm tù
913,6f0a57960e94a6489a552226c4bf05f1,"🧪🧪🧪 23h đêm 19/4, CDC Hà Nội thông báo:

Kết quả 4/4 trường hợp dương tính với SARS-CoV-2 khi xét nghiệm test nhanh sàng lọc đối với những người đi, đến, buôn bán tại chợ hoa Mê Linh (huyện Mê Linh, Hà Nội) đều cho kết quả âm tính khi xét nghiệm khẳng định.",9289,50,184,0,1783,1,emoji đêm cdc hà_nội thông_báo kết_quả trường_hợp dương_tính sarscov xét_nghiệm test sàng_lọc đi buôn_bán chợ hoa mê_linh huyện mê_linh hà_nội kết_quả âm_tính xét_nghiệm,emoji đêm cdc hà_nội thông_báo kết_quả trường_hợp dương_tính với sarscov khi xét_nghiệm test nhanh sàng_lọc đối_với những người đi đến buôn_bán tại chợ hoa mê_linh huyện mê_linh hà_nội đều cho kết_quả âm_tính khi xét_nghiệm khẳng_định
1718,dba9802a1bc2c0c07b64c28dc8e99dba,"Hà Nội chi 114 tỷ phun nước hạ nhiệt: Nhiều quận, huyện hẹn... mùa thu mới phun",0,0,0,0,3212,1,hà_nội chi tỷ phun hạ nhiệt quận_huyện hẹn mùa thu phun,hà_nội chi tỷ phun nước hạ nhiệt nhiều quận_huyện hẹn mùa thu mới phun
919,8cec85073924e94f5441a22aeebd68df,"Đối với người dùng cá nhân, tài khoản trên Cổng dịch vụ công quốc gia có thể được đăng ký ngay bằng số thuê bao di động bên cạnh các lựa chọn tài khoản USB ký số hay SIM ký số.",6,0,3,0,2238,1,tài_khoản cổng dịch_vụ công_quốc_gia đăng_ký thuê_bao di_động cạnh lựa_chọn tài_khoản usb ký sim ký,đối_với người dùng cá_nhân tài_khoản trên cổng dịch_vụ công_quốc_gia có_thể được đăng_ký ngay bằng số thuê_bao di_động bên cạnh các lựa_chọn tài_khoản usb ký số hay sim ký số
591,e451949e3bba7576c05d1ebcf1638e18,"""Hãng tin Bloomberg ngày 1/6 dẫn một số nguồn thạo tin cho biết giới chức Chính phủ Trung Quốc đã chỉ đạo các công ty nhà nước tạm dừng nhập khẩu một số mặt hàng nông sản của Mỹ, trong đó có đậu tương.
...

Tổng thống Trump thời gian gần đây cũng nhiều lần đe dọa sẽ chấm dứt thỏa thuận thương mại giai đoạn 1 nếu Trung Quốc không tuân thủ các cam kết mua 200 tỷ USD hàng hóa.

Theo một báo cáo của Trung tâm Nghiên cứu Chiến lược và Quốc tế (CSIS), xuất khẩu các mặt hàng chế tạo, nông sản, năng lượng và dịch vụ của Mỹ sang Trung Quốc trong năm nay chỉ đạt 57 tỷ USD, kém xa mục tiêu được đề ra trong thỏa thuận thương mại giai đoạn 1 được hai bên ký kết hồi tháng 1/2020."".",33,5,1,0,3323,1,hãng blomberg thạo giới_chức chính_phủ trung_quốc chỉ_đạo công_ty nhà_nước tạm dừng nhập_khẩu mặt_hàng nông_sản mỹ đậu_tương tổng_thống trump đe_doạ chấm_dứt thoả_thuận thương_mại giai_đoạn trung_quốc tuân_thủ cam_kết mua tỷ usd hàng_hoá báo_cáo trung_tâm nghiên_cứu chiến_lược quốc_tế csis xuất_khẩu mặt_hàng chế_tạo nông_sản năng_lượng dịch_vụ mỹ trung_quốc tỷ usd kém mục_tiêu đề thoả_thuận thương_mại giai_đoạn hai ký_kết hồi,hãng tin blomberg ngày dẫn một_số nguồn thạo tin cho biết giới_chức chính_phủ trung_quốc đã chỉ_đạo các công_ty nhà_nước tạm dừng nhập_khẩu một_số mặt_hàng nông_sản của mỹ trong đó có đậu_tương tổng_thống trump thời_gian gần đây cũng nhiều lần đe_doạ sẽ chấm_dứt thoả_thuận thương_mại giai_đoạn nếu trung_quốc không tuân_thủ các cam_kết mua tỷ usd hàng_hoá theo một báo_cáo của trung_tâm nghiên_cứu chiến_lược và quốc_tế csis xuất_khẩu các mặt_hàng chế_tạo nông_sản năng_lượng và dịch_vụ của mỹ sang trung_quốc trong năm nay chỉ đạt tỷ usd kém xa mục_tiêu được đề ra trong thoả_thuận thương_mại giai_đoạn được hai bên ký_kết hồi tháng
270,99ed0ae1e3149e05968a0b27b4317f1d,"Người trốn né cách ly, làm lây lan dịch bệnh truyền nhiễm nguy hiểm cho người, thì bị phạt tiền từ 50.000.000 đồng đến 200.000.000 đồng hoặc phạt tù từ 01 năm đến 05 năm.",6,0,0,0,2423,48,trốn né cách_ly lây_lan dịch_bệnh truyền_nhiễm nguy_hiểm phạt tiền đồng đồng phạt tù,người trốn né cách_ly làm lây_lan dịch_bệnh truyền_nhiễm nguy_hiểm cho người thì bị phạt tiền từ đồng đến đồng hoặc phạt tù từ năm đến năm
2654,63e028d7b3e7ce7d3bb9bea942c18e08,"NÓI ĐI, NGẠI GÌ! | QUÁCH NGỌC TUYÊN TRỞ LẠI VỚI VI CÁ, TIẾT LỘ CHUYỆN TÌNH VỚI VỢ KÉM 10 TUỔI

Sau thành công của 'Vi Cá tiền truyện', Quách Ngọc Tuyên mua nhà, mua xe, lại bất ngờ lên chức bố. Những thắc mắc của người hâm mộ được nam nghệ sĩ chia sẻ thẳng thắn trong chương trình 'Nói đi, ngại gì!'. Mời khán giả theo dõi!

 #Giảicứutiểuthư #Gianghồchợmới #Thậptammuội #QuáchNgọcTuyên #ViCátiềntruyện #EllyTrần     #Nóiđingạigì",111,12,17,0,1617,1,đi ngại quách ngọc tuyên trở_lại vi cá tiết_lộ tình vợ kém thành_công vi cá tiền truyện quách ngọc tuyên mua mua xe chức bố thắc_mắc hâm_mộ nam nghệ_sĩ thẳng_thắn chương_trình đi ngại mời khán_giả theo_dõi giảicứutiểuthư gianghồchợmới thậptamuội quáchngọctuyên vicátiềntruyện elytrần nóiđingạigì,nói đi ngại gì quách ngọc tuyên trở_lại với vi cá tiết_lộ chuyện tình với vợ kém tuổi sau thành_công của vi cá tiền truyện quách ngọc tuyên mua nhà mua xe lại bất_ngờ lên chức bố những thắc_mắc của người hâm_mộ được nam nghệ_sĩ chia_sẻ thẳng_thắn trong chương_trình nói đi ngại gì mời khán_giả theo_dõi giảicứutiểuthư gianghồchợmới thậptamuội quáchngọctuyên vicátiềntruyện elytrần nóiđingạigì
2396,76340af5ae009353ed6ce9eb1c54543a,"THÔNG BÁO! Vào lúc 12h đêm thứ 6 ngày 27/3/2020 ( Tức 00h thứ 7 ngày 28/3).  Đức Thánh Cha Phanxicô sẽ ban Phép lành toàn xá Urbi et Orbi  Theo truyền thống Giáo hội, trong những dịp trọng đại, Đức Thánh Cha sẽ ban phép lành Urbi et Orbi (cho thành Roma và toàn thế giới).... Trong năm, có hai dịp Đức Thánh Cha ban phép lành Urbi et Orbi là Lễ Giáng Sinh và Lễ Phục Sinh lúc 12 giờ trưa giờ Roma. Trong hoàn cảnh nguy cấp của đại dịch Corona Virus. Đức Thánh Cha muốn bày tỏ lòng thương xót của Thiên Chúa cho các tín hữu và toàn thế giới, nên ngài ban phép lành đặc biệt này cho mọi người. Kính mong mọi người không bỏ qua giây phút hồng phúc này để lãnh nhận ơn Toàn Xá. ● Page Tin Công Giáo 24h sẽ phát trực tiếp sự kiện này; quý vị nhấn nút like theo dõi Page để nhận thông báo mới nhất, xin cảm ơn! Xem thêm",14000,1000,8600,0,1895,1,thông_báo đêm tức đức thánh phanxicô ban phép lành toàn xá urbi et orbi truyền_thống giáo_hội dịp trọng_đại đức thánh ban phép lành urbi et orbi thành roma toàn thế_giới hai dịp đức thánh ban phép lành urbi et orbi lễ giáng_sinh lễ_phục sinh trưa roma hoàn_cảnh nguy_cấp đại_dịch corona virus đức thánh bày_tỏ thương_xót thiên chúa tín_hữu toàn thế_giới ngài ban phép lành kính mong bỏ_qua giây_phút hồng_phúc lãnh ơn toàn xá page công_giáo phát sự_kiện quý_vị nhấn nút like theo_dõi page thông_báo,thông_báo vào lúc đêm thứ ngày tức thứ ngày đức thánh cha phanxicô sẽ ban phép lành toàn xá urbi et orbi theo truyền_thống giáo_hội trong những dịp trọng_đại đức thánh cha sẽ ban phép lành urbi et orbi cho thành roma và toàn thế_giới trong năm có hai dịp đức thánh cha ban phép lành urbi et orbi là lễ giáng_sinh và lễ_phục sinh lúc giờ trưa giờ roma trong hoàn_cảnh nguy_cấp của đại_dịch corona virus đức thánh cha muốn bày_tỏ lòng thương_xót của thiên chúa cho các tín_hữu và toàn thế_giới nên ngài ban phép lành đặc_biệt này cho mọi người kính mong mọi người không bỏ_qua giây_phút hồng_phúc này để lãnh nhận ơn toàn xá page tin công_giáo sẽ phát trực_tiếp sự_kiện này quý_vị nhấn nút like theo_dõi page để nhận thông_báo mới nhất xin cảm_ơn xem thêm
2802,9cc32b8bb3eca1128e8b929b939a76ee,"Cho tới thời điểm này, dịch Covid-19 đã ảnh hưởng trực tiếp 115 quốc gia và vùng lãnh thổ, trong đó nặng nhất là 10 quốc gia sau đây.
  ",10,0,7,0,2455,1,dịch covid ảnh_hưởng quốc_gia lãnh_thổ quốc_gia,cho tới thời_điểm này dịch covid đã ảnh_hưởng trực_tiếp quốc_gia và vùng lãnh_thổ trong đó nặng nhất là quốc_gia sau đây
