id,num_like_post,num_comment_post,num_share_post,label
1,19477,378,173,0
3,48,5,19,0
4,3,0,0,0
5,775,0,54,0
6,2,1,0,0
7,25,1,1,0
8,6,0,1,0
9,6,0,0,0
10,6,0,0,0
11,170,51,68,1
12,554,480,16000,1
13,7393,13,236,0
14,12,17,0,1
15,290,5,66,0
16,121,68,49,1
17,22,1,3,0
18,1,0,0,0
19,1,0,0,0
20,6,0,0,0
21,385,27,60,0
22,4700,549,3300,0
23,2898,50,142,0
24,58,12,4,0
25,86,0,17,0
26,16,5,3,0
27,5739,43,118,0
28,39000,5300,10000,0
29,1,1,0,1
30,9050,50,220,0
31,19,0,5,0
32,9,1,0,0
33,1353,50,83,0
34,13,0,4,1
35,0,0,0,0
37,10,0,0,0
38,5200,2500,5900,0
39,1,0,0,1
40,4,0,1,0
41,17,1,1,0
42,164,9,18,0
43,26,2,1,0
44,40,48,9,0
45,5,0,0,1
46,8,1,0,0
47,26,21,6,0
48,5361,117,173,0
49,15,0,0,0
50,398,9,246,0
51,32000,1900,2400,0
52,88,27,4,0
53,4149,50,288,0
54,8900,3300,8700,0
55,0,0,0,0
56,60,0,10,0
57,8464,22,146,0
58,6,0,0,0
59,625,199,3300,1
60,4,2,1,0
61,2,0,0,1
62,1559,50,201,0
63,4320,27,1228,0
64,10,6,2,1
65,468,14,5,0
66,0,0,0,0
67,23,1,8,0
68,80,11,36,1
69,2,0,0,0
70,336,16,53,0
71,43,19,1,1
72,3,0,0,0
73,367,38,24,1
74,49,10,5,1
75,1,0,0,0
76,1,0,0,1
77,651,50,141,0
79,10,0,1,0
80,20,1,1,0
81,29,1,9,0
83,449,9,6,0
84,36,38,5,0
85,7500,1100,11000,0
86,11,0,0,1
87,18,3,6,0
88,1,0,1,1
89,2168,22,19,0
90,19191,178,144,0
91,20,5,6,0
92,9,2,0,0
93,1574,50,322,0
94,17,1,2,0
95,30,31,6,0
96,2496,0,654,0
97,0,0,0,0
98,2,0,2,0
99,1,7,0,1
100,10,1,0,0
101,47,62,10,0
102,4437,49,54,0
103,473,11,48,0
104,13,0,1,0
105,42,0,1,0
106,4,0,1,0
107,2,0,0,0
108,44,1,9,0
109,97,9,4,0
110,9,2,1,0
111,284,15,186,0
112,165,30,23,1
113,1,0,0,0
114,7,0,0,0
115,253,119,4,1
116,291,8,41,0
117,48,18,1,0
118,2,2,0,1
119,1474,39,52,0
120,6647,11,185,0
121,620,22,81,0
122,2000,782,2100,0
123,15,2,0,0
124,28000,863,2200,0
125,7,0,1,0
126,6554,50,109,0
127,0,0,0,0
128,1400,289,2700,0
129,5,0,0,0
130,3,0,0,0
131,6011,13,54,0
132,30,2,3,0
133,5551,128,540,0
134,8823,34,387,0
135,11,0,4,0
136,6,1,0,0
137,185,78,46,0
138,6,2,0,0
139,8,3,1,0
140,478,166,209,1
141,59,0,3,0
142,4,0,1,0
143,9400,939,3400,1
144,0,0,0,0
145,9619,50,562,0
146,6,0,1,0
147,6,11,0,0
148,88,49,12,0
149,0,0,0,0
150,1,0,0,0
152,8,1,1,0
153,30,10,156,1
154,415,0,18,0
155,1700,357,12000,1
156,373,122,2400,0
157,353,104,16,0
158,2581,69,145,0
159,0,0,0,0
160,3,0,0,0
161,1,0,1,0
162,341,0,62,0
163,11,0,0,0
164,563,158,2600,0
165,2800,1600,2500,0
166,160,93,21,0
167,0,0,0,0
168,3700,277,4700,0
169,12,0,0,0
170,701,0,213,0
171,10,2,2,0
172,4,0,0,0
173,12000,2400,2900,1
174,56,0,8,0
175,3,0,0,0
177,94,0,4,0
180,16,1,3,0
181,3,0,2,0
182,30,2,1,0
183,74,99,13,0
184,5,0,0,0
185,10000,657,4700,0
186,110,39,16,1
187,2,0,0,0
188,3965,10,81,0
189,3143,3,26,0
191,5,1,3,0
192,12388,50,175,0
193,0,0,0,0
194,36,0,4,0
195,88,1,5,0
196,45118,373,579,0
197,75,45,10,0
198,2898,50,142,0
199,76,0,7,0
200,12,0,1,0
201,29302,50,4079,0
202,7,0,0,1
203,4,0,0,0
204,597,50,56,0
205,2,0,1,0
206,13,0,0,0
207,24,0,3,0
208,3,0,0,0
209,67,2,3,0
210,18,0,0,0
211,0,0,0,0
212,4903,50,233,0
213,1500,25,6200,0
214,139,4,4,0
215,3,0,0,0
216,6,6,0,0
217,7,0,0,0
218,606,46,27,0
219,68,18,8,0
220,6,7,6,0
221,2,0,0,0
222,8,1,2,0
223,43,3,4,0
224,3900,1500,3000,0
225,92,30,16,0
226,5188,18,83,0
227,32,15,0,0
228,14,7,0,0
229,2,0,0,0
230,51,1,0,0
231,12149,50,204,0
232,112,50,47,0
233,23000,1300,4800,0
234,97,9,7,1
235,2,1,0,0
236,122,0,3,0
237,99,2,3,0
238,242,1,0,0
239,1822,29,70,0
240,44000,4200,4200,0
241,2,0,0,0
242,87,7,30,0
243,658,137,3100,1
244,5,0,0,0
245,0,0,0,0
246,8,0,1,0
247,16091,38,2642,0
248,13,7,2,1
249,1100,134,2300,1
250,567,262,377,1
251,1,0,0,0
252,6,0,1,1
253,2,0,0,0
254,2,0,0,0
255,76,12,6,0
256,33,10,3,0
257,29,6,1,0
258,26,9,1,0
259,56,0,6,0
260,5,0,0,0
261,4,0,0,0
262,11,3,2,0
263,68,0,5,0
264,0,0,0,0
265,452,274,210,1
266,80,21,6,1
267,4,0,1,0
268,10,0,0,0
269,27,1,0,0
270,6,0,0,0
271,16,3,3,0
272,18,13,1,0
273,53,13,22,1
274,6,0,0,0
275,1400,2500,4300,1
276,6306,20,1274,0
277,24,0,0,0
278,4,0,0,0
279,75,15,15,1
280,405,32,20,0
281,245,357,25,1
282,4,0,1,0
283,94,1,7,0
284,6,2,0,0
285,13000,675,2400,0
287,9,7,0,0
288,5593,24,635,0
289,3800,442,2800,1
290,145,32,3,0
291,175,20,14,1
292,178,44,34,0
293,0,0,0,0
294,35,3,3,0
295,1600,24,5000,1
296,3,0,3,1
297,75,13,3,0
298,290,22,13,0
300,4632,34,391,0
301,53,48,2,1
302,13020,50,557,0
303,6,0,0,0
304,190,22,4,1
305,0,0,0,0
306,3,0,0,0
307,88,19,28,1
308,19,3,0,0
309,2,1,0,0
310,41,8,9,0
311,7,1,0,0
312,175,8,36,0
313,11,0,3,0
314,37,1,0,0
315,6,0,1,0
316,157,3,9,0
317,40,42,4,0
318,62,1,5,0
319,8800,3000,7600,0
320,13,0,0,0
321,4,1,0,0
322,17,0,3,0
323,190,25,4,1
324,6200,644,4200,0
325,6,0,0,0
326,5,0,0,0
327,5,0,1,0
328,5340,50,202,0
329,7,0,0,1
330,4,4,0,0
331,4439,14,144,0
332,4180,50,208,0
333,23,1,0,0
334,238,0,98,0
335,62,6,27,0
336,111,56,35,1
337,9,1,0,0
338,1,0,0,0
339,5,0,0,0
340,5800,6000,21000,1
341,25,6,0,0
342,9434,50,348,0
343,6,0,0,0
344,7450,8,47,0
345,60,43,8,0
346,19,3,3,0
347,19,0,0,0
348,10000,807,2200,0
349,27212,759,900,0
350,261,11,14,1
351,214,28,8,1
352,5,0,0,0
353,351,10,8,0
354,265,20,35,1
355,71138,50,2400,0
356,278,33,65,0
357,2500,241,3300,0
358,0,1,0,0
359,13,2,0,0
360,7,0,0,0
361,13,0,0,0
362,6,0,0,0
363,2,0,0,0
364,823,0,75,0
365,25,2,1,0
366,102,1,2,0
367,0,0,0,0
368,22,0,3,0
369,7,3,0,0
370,5,1,3,0
371,21000,476,2900,0
372,216,11,20,0
373,67,38,8,0
374,1,0,0,0
375,1300,86,4000,1
376,43,0,0,0
377,15,12,1,0
378,89,2,3,0
379,255,47,36,1
380,8400,1700,9100,0
381,80,13,5,0
382,0,0,0,1
383,1894,50,141,0
384,2,0,1,0
385,1,1,0,0
386,432,8,48,0
387,24,1,1,0
388,85,3,1,0
390,2,0,0,0
391,22,0,0,0
392,33,1,1,0
393,768,17,35,0
394,13,1,0,1
395,3,2,0,0
396,380,11,12,0
397,8,0,0,0
398,106,444,15,1
399,232,21,13,1
400,7,0,0,0
401,642,59,485,1
402,21,3,2,0
403,15,1,2,0
404,12000,493,2500,0
405,9,4,0,0
406,1,0,0,0
407,89,12,4,1
408,136,114,43,0
409,2887,68,22,0
410,8,0,1,0
411,0,0,0,0
412,0,0,0,0
413,9,0,0,0
414,162,32,14,1
415,9,0,0,0
416,3405,36,57,0
417,4300,260,4200,0
418,17,0,2,0
419,4,0,0,0
420,89,50,73,1
421,25,0,0,0
422,52,56,0,1
423,38,0,2,0
424,74,14,12,0
425,48,14,4,0
426,70,35,5,0
427,138,2,0,0
428,1,0,0,0
429,4,0,0,0
430,784,50,31,0
431,4100,3000,7400,0
432,170,22,33,0
