id,num_like_post,num_comment_post,num_share_post,label
4341,400,15,79,0
1035,40000,1400,2600,0
2896,13,1,0,0
3941,6,0,0,0
1805,6,1,0,0
2340,33,0,2,0
4177,29,5,1,0
2073,3500,16,2900,0
1106,369,50,7,0
3155,135,1,12,0
1559,1,0,0,0
2422,2535,39,79,0
1370,24,1,5,0
1615,7082,22,237,0
199,76,0,7,0
1540,7,3,0,0
1938,4,0,0,0
2284,930,12,160,0
3030,27,4,1,0
2501,30,2,14,0
776,314,3,71,0
469,5344,50,88,0
3566,22,0,1,0
2663,6,2,0,0
2128,77,8,3,0
2058,0,0,2,0
3760,3,0,0,0
1274,188,12,34,0
3283,8,1,0,0
1545,52,1,11,0
2297,9400,1100,8400,0
2380,809,20,46,0
4127,0,0,0,0
3752,1800,320,368,0
740,4,0,0,0
3998,25216,1770,1877,0
3761,10,1,0,0
564,61,5,7,0
1223,36000,5500,6700,0
1838,1,0,0,0
2330,75,3,5,0
3831,4,0,0,0
3,48,5,19,0
2161,5,0,2,0
3792,5,1,0,0
2912,116,0,7,0
500,74,1,9,0
663,634,6,1,0
13,7393,13,236,0
2826,158,2,11,0
4059,135,87,7,0
3140,21,23,0,0
2088,6,0,0,0
30,9050,50,220,0
2109,186,33,20,0
2710,3785,341,776,0
3649,1005,50,6,0
3476,4717,17,373,0
1214,119,156,23,0
2717,8177,53,88,0
2008,60172,50,4243,0
4330,262,47,39,0
2335,3,6,1,0
674,25,0,2,0
1824,4,2,2,0
2644,3806,179,269,0
2485,8,0,0,0
3871,4,0,0,0
2788,1500,610,2300,0
1918,2,0,0,0
2484,12446,125,321,0
719,15,4,2,0
3255,1500,976,7700,0
4242,6086,3,136,0
869,4085,50,105,0
306,3,0,0,0
2738,12000,2200,3500,0
1799,6,0,1,0
2600,4,2,0,0
432,170,22,33,0
1767,2,0,0,0
1454,1888,50,89,0
3596,6,1,0,0
3078,14,1,2,0
3732,1100,1000,2100,0
2223,2,0,0,0
2801,60,37,4,0
1460,3,1,0,0
1129,149,64,28,0
3379,18,9,3,0
3461,9,0,0,0
2219,5,3,1,0
4372,24,9,0,0
2670,1,0,0,0
4200,0,0,0,0
3846,8694,20,520,0
3093,1100,932,2300,0
2774,0,0,0,0
2621,1,1,0,0
3051,0,0,0,0
218,606,46,27,0
1553,1400,471,7000,0
3807,6100,1800,5700,0
992,10859,50,621,0
1261,5,0,0,0
2938,4,0,0,0
268,10,0,0,0
2908,3,0,0,0
3697,279,59,166,0
1623,35,10,6,0
3537,97,2,5,0
3629,5,2,1,0
308,19,3,0,0
952,55,34,1,0
1707,10,2,0,0
2995,509,39,59,0
391,22,0,0,0
507,48,6,74,0
895,28,1,2,0
2547,288,7,15,0
819,25,1,2,0
2065,290,15,3,0
3663,54,3,3,0
533,27,10,6,0
2650,324,0,28,0
1912,5,0,0,0
3305,239,25,3400,0
1860,13,0,1,0
2855,306,11,16,0
3492,37,30,1,0
2957,4,0,0,0
3728,1,0,1,0
1253,1,0,0,0
3879,3,0,0,0
726,5,2,0,0
1037,8,8,1,0
3868,10603,50,1128,0
4286,294,97,3600,0
4084,7,4,0,0
2900,1,0,0,0
